,標準症狀,次數,占比
130,脈寬度寬,10,0.0006
131,頭重,10,0.0006
132,舌苔形體全部剝落,10,0.0006
133,呼吸痰鳴,10,0.0006
134,舌體顏色黑色,9,0.0005
135,膝酸,9,0.0005
136,胃悶,9,0.0005
137,鼻癢,9,0.0005
138,舌形狀胖大,9,0.0005
139,鼻衄,9,0.0005
140,骨痛,8,0.0005
141,畏風,8,0.0005
142,偏頭痛,8,0.0005
143,子宮肌瘤,8,0.0005
144,涎量少,8,0.0005
145,意識健忘,8,0.0005
146,舌苔濕度滑,7,0.0004
147,脅痛,7,0.0004
148,噁心,7,0.0004
149,涕量多,7,0.0004
150,舌苔濕度潤,7,0.0004
151,全身消瘦,7,0.0004
152,下肢麻木,7,0.0004
153,手顫,7,0.0004
154,小便色黃,6,0.0004
155,四肢重,6,0.0004
156,脈利度澀,6,0.0004
157,月經痛,6,0.0004
158,下肢腫脹,6,0.0004
159,足痛,6,0.0004
160,嘈雜,6,0.0004
161,矢氣量多,6,0.0004
162,面瘡,6,0.0004
163,皮膚生疹,5,0.0003
164,目紅,5,0.0003
165,上腹痛,5,0.0003
166,咳血,5,0.0003
167,背僵,5,0.0003
168,情緒心驚,5,0.0003
169,易呵欠,5,0.0003
170,渴不欲飲,5,0.0003
171,小便量少,5,0.0003
172,膝痛,5,0.0003
173,痰色綠,5,0.0003
174,下肢冷,5,0.0003
175,皮膚癢,5,0.0003
176,足冷,5,0.0003
177,意識多言,5,0.0003
178,舌瘡,4,0.0002
179,唇乾,4,0.0002
180,口淡,4,0.0002
181,舌苔質地腐垢,4,0.0002
182,微咳,4,0.0002
183,頸項痛,4,0.0002
184,面色暗,4,0.0002
185,皮膚乾,4,0.0002
186,壯熱,4,0.0002
187,痔瘡,4,0.0002
188,潮熱,4,0.0002
189,小便不暢,4,0.0002
190,痰質稀,3,0.0002
191,舌體顏色紫色,3,0.0002
192,腰麻,3,0.0002
193,下肢無力,3,0.0002
194,胸脹,3,0.0002
195,冷汗,3,0.0002
196,遺尿,3,0.0002
197,食後腹脹,3,0.0002
198,鼻乾,3,0.0002
199,四肢拘急,3,0.0002
200,瘀血,3,0.0002
201,小便量多,3,0.0002
202,下肢酸,3,0.0002
203,情緒聲弱,3,0.0002
204,腦鳴,3,0.0002
205,腫塊,3,0.0002
206,身顫,3,0.0002
207,磨牙,3,0.0002
208,寒戰,3,0.0002
209,關節痛,3,0.0002
210,脅脹,3,0.0002
211,腹鳴,3,0.0002
212,痰挾血,2,0.0001
213,脈止率定,2,0.0001
214,目痛,2,0.0001
215,鼻酸,2,0.0001
216,舌尖顏色深紅,2,0.0001
217,下肢抽搐,2,0.0001
218,四肢酸,2,0.0001
219,舌苔質地糙,2,0.0001
220,額痛,2,0.0001
221,大便挾血,2,0.0001
222,目眵,2,0.0001
223,劇咳,2,0.0001
224,情緒多疑,2,0.0001
225,涕質濃,2,0.0001
226,胃冷,2,0.0001
227,呼吸聲大,2,0.0001
228,皮膚色黃,2,0.0001
229,無汗,2,0.0001
230,牙齒痛,2,0.0001
231,少汗,2,0.0001
232,小便起泡,2,0.0001
233,打鼾,2,0.0001
234,頭搖,2,0.0001
235,頭脹,2,0.0001
236,小便挾血,2,0.0001
237,髖部痛,2,0.0001
238,全身腫脹,2,0.0001
239,重聽,2,0.0001
240,全身癢,2,0.0001
241,大便不盡,2,0.0001
242,上臂冷,2,0.0001
243,臂僵,2,0.0001
244,情緒憤怒,2,0.0001
245,耳痛,1,0.0001
246,白帶量多,1,0.0001
247,面麻,1,0.0001
248,吐水,1,0.0001
249,頭昏,1,0.0001
250,淋巴瘤,1,0.0001
251,口不渴,1,0.0001
252,腿痛,1,0.0001
253,惡風,1,0.0001
254,小便不通,1,0.0001
255,氣逆,1,0.0001
256,唇裂,1,0.0001
257,乳房脹,1,0.0001
258,腹熱,1,0.0001
259,涕質稀,1,0.0001
260,夜時畏寒,1,0.0001
261,耳後痛,1,0.0001
262,痰色清,1,0.0001
263,口澀,1,0.0001
264,背冷,1,0.0001
265,涕量少,1,0.0001
266,子宮脫垂,1,0.0001
267,目腫,1,0.0001
268,肺積水,1,0.0001
269,積水,1,0.0001
270,唇色紅,1,0.0001
271,牙齦出血,1,0.0001
272,小便色棕,1,0.0001
273,意識昏迷,1,0.0001
274,全身重,1,0.0001
275,月經閉經,1,0.0001
276,足踝痛,1,0.0001
277,大便挾食物,1,0.0001
278,四肢汗出,1,0.0001
279,脈止率亂,1,0.0001
280,小便急迫,1,0.0001
281,小便疼痛,1,0.0001
282,上肢痛,1,0.0001
283,足跟痛,1,0.0001
284,乳房腫塊,1,0.0001
285,陰道癢,1,0.0001
286,外陰癢,1,0.0001
287,疝氣,1,0.0001
288,右脅痛,1,0.0001
289,口膩,1,0.0001
290,下腹墜脹,1,0.0001
291,牙齒動搖,1,0.0001
292,夢遊,1,0.0001
293,頭頂痛,1,0.0001
294,左耳鳴,1,0.0001
295,飢餓時腹痛,1,0.0001
296,大便質黏,1,0.0001
297,鬚髮脫落,1,0.0001
298,面乾,1,0.0001
299,胃灼熱,1,0.0001
300,月經後期,1,0.0001
301,意識恍惚,1,0.0001
302,全身肥胖,1,0.0001
303,腰僵,1,0.0001
304,乾嘔,1,0.0001
305,情緒悲傷,1,0.0001
306,痰色紅,1,0.0001
307,痰挾膿,1,0.0001
308,小便味臭,1,0.0001
309,面色黃,1,0.0001
310,大便量少,1,0.0001
311,月經量多,1,0.0001
312,下肢痛,1,0.0001
313,膝關節腫脹,1,0.0001
314,關節腫脹,1,0.0001
315,下肢沉重,1,0.0001
316,氣由下往上衝,1,0.0001
317,情緒急躁,1,0.0001
