,詞,標準症狀,詞長度
73,口氣及痰、唾、嘔吐、瀉利等排泄物的氣味清腥,口臭。,21
74,口氣及痰、唾、嘔吐、瀉利等排泄物的氣味清腥,痰味臭。,21
75,口氣及痰、唾、嘔吐、瀉利等排泄物的氣味清腥,涎味臭。,21
76,口氣及痰、唾、嘔吐、瀉利等排泄物的氣味清腥,嘔吐物味臭。,21
77,口氣及痰、唾、嘔吐、瀉利等排泄物的氣味清腥,大便味臭。,21
78,口氣臭穢,口臭。,4
79,口臭,口臭。,2
80,口乾,口乾。,2
81,口乾口苦,口乾。,4
82,口乾口苦,口苦。,4
83,口乾不多飲,口乾。,5
84,口乾不多飲,渴而少飲。,5
85,口乾不渴,口乾。,4
86,口乾不渴,口不渴。,4
87,口乾咽燥,口乾。,4
88,口乾咽燥,喉乾。,4
89,口乾音嘶,口乾。,4
90,口乾音嘶,聲啞。,4
91,口乾欲飲,口乾。,4
92,口乾喜飲,口乾。,4
93,口乾無液,口乾。,4
94,口乾無液,涎量少。,4
95,口淡,口淡。,2
96,口淡不飢,口淡。,4
97,口淡不飢,食欲低落。,4
98,口淡不渴,口淡。,4
99,口淡不渴,口不渴。,4
100,口甜口膩不飢,口甜。,6
101,口甜口膩不飢,口膩。,6
102,口甜口膩不飢,食欲低落。,6
103,口唾清水,吐清水。,4
104,口渴,口渴。,2
105,口渴引飲,口渴。,4
106,口渴引飲多喝,口渴。,6
107,口渴多飲,口渴。,4
108,口渴咽乾,口渴。,4
109,口渴咽乾,喉乾。,4
110,口渴咽乾喜飲,口渴。,6
111,口渴咽乾喜飲,喉乾。,6
112,口渴飲水不能滋乾,口渴。,8
113,口渴飲水之喜涼惡熱,口渴。,9
114,口渴飲水之喜涼惡熱,渴喜冷飲。,9
115,口開肩聳,張口抬肩。,4
116,口微渴,口渴。,3
117,口鼻失血,鼻衄。,4
118,口鼻失血,口出血。,4
119,口噤,口噤。,2
120,口膩,口膩。,2
121,口燥,口乾。,2
122,口燥口渴,口乾。,4
123,口燥口渴,口渴。,4
124,口燥口渴，但多不消水,口乾。,10
125,口燥口渴，但多不消水,口渴。,10
126,口燥口渴，但多不消水,飲不下嚥。,10
127,口燥咽乾,口乾。,4
128,口燥咽乾,喉乾。,4
129,口燥煩乾,口乾。,4
130,口穢氣粗,口臭。,4
131,口穢氣粗,呼吸聲大。,4
132,大小便，以及嘔吐咯唾痰涎、涕淚、汗液、帶濁等水液混濁稠黏,大便質黏。,28
133,大小便，以及嘔吐咯唾痰涎、涕淚、汗液、帶濁等水液混濁稠黏,嘔吐物質黏。,28
134,大小便，以及嘔吐咯唾痰涎、涕淚、汗液、帶濁等水液混濁稠黏,涎質濃。,28
135,大小便，以及嘔吐咯唾痰涎、涕淚、汗液、帶濁等水液混濁稠黏,痰質濃。,28
136,大小便，以及嘔吐咯唾痰涎、涕淚、汗液、帶濁等水液混濁稠黏,涕質濃。,28
137,大小便，以及嘔吐咯唾痰涎、涕淚、汗液、帶濁等水液混濁稠黏,汗質黏。,28
138,大小便，以及嘔吐咯唾痰涎、涕淚、汗液、帶濁等水液混濁稠黏,白帶質濃。,28
139,大汗,大汗。,2
140,大便不爽,大便不盡。,4
141,大便不通,大便不暢。,4
142,大便不實,大便質稀。,4
143,大便反快,大便急迫。,4
144,大便反溏,大便質初硬後稀。,4
145,大便先堅後溏,大便質初硬後稀。,6
146,大便多溏,大便質稀。,4
147,大便如醬，溏滯不爽,大便質黏。,9
148,大便如醬，溏滯不爽,大便質稀。,9
149,大便如醬，溏滯不爽,大便不盡。,9
150,大便有血水黏液,大便挾血。,7
151,大便有血水黏液,大便挾黏液。,7
152,大便色黑,大便色黑。,4
153,大便時溏,大便質稀。,4
154,大便乾燥,大便質硬。,4
155,大便乾燥，二三日一下,大便質硬。,10
156,大便乾燥，二三日一下,大便次少。,10
157,大便堅實為多,大便質硬。,6
158,大便排出成蟲,大便挾蟲。,6
159,大便清稀,大便質稀。,4
160,大便惡臭,大便味臭。,4
161,大便無臭,大便不臭。,4
162,大便稀溏，稀如水樣,大便質稀。,9
163,大便黑色,大便色黑。,4
164,大便滑脫,大便失禁。,4
165,大便溏薄,大便質稀。,4
166,大渴,口渴。,2
167,大渴引飲,口渴。,4
168,大熱,壯熱。,2
169,大熱大渴大汗,壯熱。,6
170,大熱大渴大汗,口渴。,6
171,大熱大渴大汗,大汗。,6
172,子宮脫垂,子宮脫垂。,4
173,小兒發育不良，骨骼痿弱,全身消瘦。,11
174,小便不利,小便不暢。,4
175,小便不利,小便量少。,4
176,小便不利，雖無赤澀熱痛，但必短少不行,小便不暢。,18
177,小便不利，雖無赤澀熱痛，但必短少不行,小便量少。,18
178,小便不利，雖無赤澀熱痛，但必短少不行,小便不通。,18
179,小便不能自制，每伴勞累加劇,小便失禁。,13
180,小便失禁,小便失禁。,4
181,小便必短少而熱赤，甚則澀痛不利,小便量少。,15
182,小便必短少而熱赤，甚則澀痛不利,小便色紅。,15
183,小便必短少而熱赤，甚則澀痛不利,小便灼熱。,15
184,小便必短少而熱赤，甚則澀痛不利,小便疼痛。,15
185,小便自利,小便失禁。,4
186,小便赤黃,小便色紅。,4
187,小便赤黃,小便色黃。,4
188,小便赤黃尿頻,小便色紅。,6
189,小便赤黃尿頻,小便色黃。,6
190,小便赤黃尿頻,小便次多。,6
191,小便赤澀淋痛,小便色紅。,6
192,小便赤澀淋痛,小便疼痛。,6
193,小便後流出精絲,小便挾精。,7
194,小便後帶黏液,小便挾膿。,6
195,小便臭濁,小便味臭。,4
196,小便清白,小便色白。,4
197,小便清白,小便色清。,4
198,小便清利,小便色清。,4
199,小便清利,小便量多。,4
200,小便清長,小便色清。,4
201,小便清長,小便量多。,4
202,小便清澈,小便色清。,4
203,小便淋赤刺痛,小便色棕。,6
204,小便淋赤刺痛,小便疼痛。,6
205,小便淋赤刺痛,小便挾砂。,6
206,小便淋漓不盡,小便不盡。,6
207,小便混濁,小便挾乳糜。,4
208,小便透明而長,小便量多。,6
209,小便透明而長,小便色清。,6
210,小便渾濁,小便挾乳糜。,4
211,小便短少,小便量少。,4
212,小便短赤,小便色棕。,4
213,小便短赤,小便量少。,4
214,小便短赤熱痛,小便量少。,6
215,小便短赤熱痛,小便色棕。,6
216,小便短赤熱痛,小便灼熱。,6
217,小便短赤熱痛,小便疼痛。,6
218,小便短黃,小便色黃。,4
219,小便短黃,小便量少。,4
220,小便短澀,小便量少。,4
221,小便短澀,小便不暢。,4
222,小便短澀不行,小便量少。,6
223,小便短澀不行,小便不暢。,6
224,小便短澀淋瀝,小便量少。,6
225,小便短澀淋瀝,小便不盡。,6
226,小便短澀淋瀝，甚則刺痛,小便量少。,11
227,小便短澀淋瀝，甚則刺痛,小便疼痛。,11
228,小便短澀淋瀝，甚則刺痛,小便不暢。,11
229,小便量多而頻,小便次多。,6
230,小便量多而頻,小便量多。,6
231,小便量多而頻數,小便次多。,7
232,小便量多而頻數,小便量多。,7
233,小便黃少,小便次少。,4
234,小便黃少,小便色黃。,4
235,小便溺管痛,小便疼痛。,5
236,小便數,小便次多。,3
237,小便熱痛,小便灼熱。,4
238,小便熱痛,小便疼痛。,4
239,小便頻多色白且長，白晝尤甚,小便次多。,13
240,小便頻多色白且長，白晝尤甚,小便色白。,13
241,小便頻多色白且長，白晝尤甚,小便量多。,13
242,小便頻數,小便次多。,4
243,小便頻數不禁,小便次多。,6
244,小便頻數不禁,小便失禁。,6
245,小便頻數清長,小便次多。,6
246,小便頻數清長,小便色清。,6
247,小便頻數清長,小便量多。,6
248,小腹冷痛,小腹冷。,4
249,小腹冷痛,小腹痛。,4
250,小腹拘急,小腹攣急。,4
251,小腹時痛,小腹痛。,4
252,小腹堅痛,小腹痛。,4
253,小腹痛,小腹痛。,3
254,小腹脹痛拒按,小腹脹。,6
255,小腹脹痛拒按,小腹痛。,6
256,小腹滿,小腹脹。,3
257,小腹滿，或痛,小腹脹。,6
258,小腹滿，或痛,小腹痛。,6
259,小腹滿硬,小腹脹。,4
260,小腹熱痛,小腹痛。,4
261,不安,情緒心慌。,2
262,不育,妊娠不孕。,2
263,不思食,食欲低落。,3
264,不思納谷,食欲低落。,4
265,不思飲食,食欲低落。,4
266,不食,食欲低落。,2
267,不納惡食,食欲低落。,4
268,不能步履,步態不穩。,4
269,不能食,食欲低落。,3
270,不飢不食,食欲低落。,4
271,不飢不飽,食欲低落。,4
272,不得眠,難眠。,3
273,不欲進食,食欲低落。,4
274,不欲飲食,食欲低落。,4
275,不喜會人,意識孤僻。,4
276,不寐,難眠。,2
277,不惡寒反惡熱,惡熱。,6
278,不渴,口不渴。,2
279,不渴不寐,口不渴。,4
280,不渴不寐,難眠。,4
281,不進食,食欲低落。,3
282,不飲食,食欲低落。,3
283,不夢而遺,遺精。,4
284,中脘痞脹或痛,胃痛。,6
285,中脘痞脹或痛,胃脹。,6
286,中脘脹滿，午後更甚,胃脹。,9
287,五心多熱,手足心熱。,4
288,五心煩灼,手足心熱。,4
289,五心煩熱,手足心熱。,4
290,內熱,發熱。,2
291,內熱口渴,發熱。,4
292,內熱口渴,口渴。,4
293,午後低熱,低熱。,4
294,午後寒熱,寒熱往來。,4
295,午後發熱,午後發熱。,4
296,午後煩亂,情緒煩躁。,4
297,午後潮熱,潮熱。,4
298,午後熱甚,午後發熱。,4
299,午後顴紅目眩,面色紅。,6
300,午後顴紅目眩,目眩。,6
301,太息,情緒多嘆。,2
302,少氣,呼吸微弱。,2
303,少氣乏力,呼吸微弱。,4
304,少氣乏力,四肢無力。,4
305,少氣乏力，不能支持,呼吸微弱。,9
306,少氣乏力，不能支持,四肢無力。,9
307,少氣提之若不能升，吞之若不能續,呼吸微弱。,15
308,少氣短氣,呼吸微弱。,4
309,少氣懶言,呼吸微弱。,4
310,少氣懶言,意識懶言。,4
311,少眠,難眠。,2
312,少神懶言,情緒神疲。,4
313,少神懶言,意識懶言。,4
314,少納,食欲低落。,2
315,少寐,難眠。,2
316,少寐多夢,難眠。,4
317,少寐多夢,多夢。,4
318,少痰,痰量少。,2
319,少腹，腰痛或疝瘕痛,少腹痛。,9
320,少腹，腰痛或疝瘕痛,腰痛。,9
321,少腹，腰痛或疝瘕痛,腹痛。,9
322,少腹肛門墜脹,少腹墜脹。,6
323,少腹肛門墜脹,肛門墜脹。,6
324,少腹弦急,少腹攣急。,4
325,少腹疼痛,少腹痛。,4
326,少腹脹痛,少腹脹。,4
327,少腹脹痛,少腹痛。,4
328,少腹裏急,少腹墜脹。,4
329,尺膚熱甚,發熱。,4
330,幻視,意識幻視。,2
331,幻覺,意識幻覺。,2
332,幻聽,意識幻聽。,2
333,心下空豁，狀若惊悸,情緒心驚。,9
334,心下悸,腹顫。,3
335,心下悸欲得按者,腹顫。,7
336,心下痞滿,腹脹。,4
337,心下煩滿,情緒煩躁。,4
338,心中空虛，惕惕而動,情緒恐懼。,9
339,心中疼熱,心痛。,4
340,心神不寧,情緒心慌。,4
341,心神失寧,情緒心慌。,4
342,心神恍惚,意識恍惚。,4
343,心情眠差,難眠。,4
344,心悸,心悸。,2
345,心悸失眠,心悸。,4
346,心悸失眠,難眠。,4
347,心悸而煩,心悸。,4
348,心悸而煩,情緒煩躁。,4
349,心悸怔忡,心悸。,4
350,心悸氣短,心悸。,4
351,心悸氣短,呼吸微弱。,4
352,心悸陣作，有時停跳感,心悸。,10
353,心悸惊惕,心悸。,4
354,心悸惊惕,情緒心驚。,4
355,心累,情緒神疲。,2
356,心累氣短,情緒神疲。,4
357,心累氣短,呼吸微弱。,4
358,心惊動跳,情緒心驚。,4
359,心悶,胸悶。,2
360,心痛背脹引腰，日輕夜重,心痛。,11
361,心痛背脹引腰，日輕夜重,背腫。,11
362,心痛背脹引腰，日輕夜重,腰痛。,11
363,心痛背脹引腰，日輕夜重,腰腫。,11
364,心痛頻發，短暫即止,心痛。,9
365,心絞痛,心痛。,3
366,心慌,情緒心慌。,2
367,心慌心悸,情緒心慌。,4
368,心慌心悸,心悸。,4
369,心慌心跳,情緒心慌。,4
370,心慌氣短,情緒心慌。,4
371,心慌氣短,呼吸微弱。,4
372,心煩,情緒煩躁。,2
373,心煩口乾,情緒煩躁。,4
374,心煩口乾,口乾。,4
375,心煩口渴,情緒煩躁。,4
376,心煩口渴,口渴。,4
377,心煩不寐,情緒煩躁。,4
378,心煩不寐,難眠。,4
379,心煩自汗,情緒煩躁。,4
380,心煩自汗,自汗。,4
381,心煩尿赤,情緒煩躁。,4
382,心煩尿赤,小便色紅。,4
383,心煩夜甚,情緒煩躁。,4
384,心煩易怒,情緒煩躁。,4
385,心煩易怒,情緒憤怒。,4
386,心煩神亂,情緒煩躁。,4
387,心煩喜嘔,情緒煩躁。,4
388,心煩喜嘔,嘔吐。,4
389,心煩頻頻欲吐,情緒煩躁。,6
390,心煩頻頻欲吐,噁心。,6
391,心煩難寐,情緒煩躁。,4
392,心煩難寐,難眠。,4
393,心煩躁急,情緒煩躁。,4
394,心煩躁急,情緒急躁。,4
395,心煩鬱怒,情緒煩躁。,4
396,心煩鬱怒,情緒憂鬱。,4
397,心煩鬱怒,情緒憤怒。,4
398,心腹冷痛,心痛。,4
399,心腹冷痛,腹冷。,4
400,心腹冷痛,腹痛。,4
401,心跳動,心悸。,3
402,心跳間歇,心悸。,4
403,心跳膽寒,心悸。,4
404,心靜無聲,情緒寡言。,4
405,手心覺熱,手心熱。,4
406,手足心熱,手足心熱。,4
407,手足欠溫,四肢冷。,4
408,手足出汗,四肢汗出。,4
409,手足冷,四肢冷。,3
410,手足清冷,四肢冷。,4
411,手足發麻,四肢麻木。,4
412,手足熱甚,足熱。,4
413,手足濈然汗出,四肢汗出。,6
414,手指麻木，僅發于食指中指,手指麻木。,12
415,手指厥冷,手指冷。,4
416,手震,手顫。,2
417,日晡發熱,午後發熱。,4
418,日漸消瘦,全身消瘦。,4
419,日數十行完谷不化,大便次多。,8
420,日數十行完谷不化,大便挾食物。,8
421,月經不調,月經先後不定期。,4
422,月經少而帶下多，有特殊腥味,月經量少。,13
423,月經少而帶下多，有特殊腥味,白帶量多。,13
424,月經少而帶下多，有特殊腥味,月經味臭。,13
425,月經前面目足跗浮腫作脹，甚則遍體皆腫,面浮腫。,18
426,月經前面目足跗浮腫作脹，甚則遍體皆腫,面腫脹。,18
427,月經前面目足跗浮腫作脹，甚則遍體皆腫,足背浮腫。,18
428,月經前面目足跗浮腫作脹，甚則遍體皆腫,全身浮腫。,18
429,月經後期,月經後期。,4
430,月經過多,月經量多。,4
431,月經錯亂，色淡量少,月經先後不定期。,9
432,月經錯亂，色淡量少,月經色淡紅。,9
433,月經錯亂，色淡量少,月經量少。,9
434,毛髮枯黃脫落,鬚髮焦枯。,6
435,毛髮枯黃脫落,鬚髮脫落。,6
436,毛髮脫落,鬚髮脫落。,4
437,水腫,全身浮腫。,2
438,爪甲色淡,指甲色白。,4
439,爪甲乾枯,指甲乾枯。,4
440,爪甲變薄變脆,指甲薄脆。,6
441,牙宣出血,牙齦出血。,4
442,牙齒鬆浮，難於咀嚼,牙齒動搖。,9
443,乍寒乍熱,寒熱往來。,4
444,乏力困倦,四肢無力。,4
445,乏力困倦,情緒神疲。,4
446,乏力倦怠,四肢無力。,4
447,乏力倦怠,情緒神疲。,4
448,出汗,自汗。,2
449,出血過多顏色紅或紫黑,月經量多。,10
450,出血過多顏色紅或紫黑,月經色紅。,10
451,出血過多顏色紅或紫黑,月經色紫。,10
452,出血過多顏色紅或紫黑,月經色黑。,10
453,出冷汗,冷汗。,3
454,出氣發涼,呼涼氣。,4
455,出虛汗,自汗。,3
456,可見蟲卵,大便挾蟲。,4
457,可記憶，或不可記憶,意識健忘。,9
458,右脅掣痛,右脅痛。,4
459,右脅痛連背,右脅痛。,5
460,右脅痛連背,背痛。,5
461,右側臀部，下肢疼痛，沉重難以言狀，步履艱難，沉重乏力，麻木,下肢痛。,29
462,右側臀部，下肢疼痛，沉重難以言狀，步履艱難，沉重乏力，麻木,下肢沉重。,29
463,右側臀部，下肢疼痛，沉重難以言狀，步履艱難，沉重乏力，麻木,下肢麻木。,29
464,右側臀部，下肢疼痛，沉重難以言狀，步履艱難，沉重乏力，麻木,下肢無力。,29
465,右腰酸痛墜脹，動則更甚,腰酸。,11
466,右腰酸痛墜脹，動則更甚,腰痛。,11
467,右腰酸痛墜脹，動則更甚,腰腫。,11
468,四末欠溫,四肢冷。,4
469,四末發涼,四肢冷。,4
470,四肢不溫,四肢冷。,4
471,四肢欠溫,四肢冷。,4
472,四肢乏力,四肢無力。,4
473,四肢冷,四肢冷。,3
474,四肢困倦,四肢無力。,4
475,四肢沉困,四肢重。,4
476,四肢屈蜷難伸,四肢拘急。,6
477,四肢拘攣,四肢拘急。,4
478,四肢重者沉困,四肢重。,6
479,四肢倦怠,四肢無力。,4
480,四肢浮腫,四肢浮腫。,4
481,四肢清冷,四肢冷。,4
482,四肢軟癱,四肢無力。,4
483,四肢麻木,四肢麻木。,4
484,四肢無力,四肢無力。,4
485,四肢酸疼,四肢酸。,4
486,四肢酸疼,四肢痛。,4
487,四肢酸軟,四肢無力。,4
488,四肢酸麻,四肢酸。,4
489,四肢酸麻,四肢麻木。,4
490,四肢發麻,四肢麻木。,4
491,四肢酸楚,四肢酸。,4
492,四肢酸楚,四肢無力。,4
493,四肢濈然汗出,四肢汗出。,6
494,失音,聲啞。,2
495,失眠,難眠。,2
496,失眠少眠,難眠。,4
497,失眠多夢,難眠。,4
498,失眠多夢,多夢。,4
499,失眠多夢易醒,難眠。,6
500,失眠多夢易醒,多夢。,6
501,失眠多夢易醒,易醒。,6
502,失眠忽寐忽醒,難眠。,6
503,失眠忽寐忽醒,易醒。,6
504,失禁,小便失禁。,2
505,左手足筋絡不舒,左半身偏癱。,7
506,左胸痛,胸痛。,3
507,左胸痛引脅,胸痛。,5
508,左胸痛引脅,脅痛。,5
509,打呃而胃中汩汩有聲,腹鳴。,9
510,生活極度懶散,意識懶散。,6
511,申酉潮熱,潮熱。,4
512,白淫,小便挾精。,2
513,白濁,小便色白。,2
514,皮毛急薄毛落,鬚髮脫落。,6
515,皮毛焦枯,皮膚乾。,4
516,皮寒,全身冷。,2
517,皮熱,身熱不揚。,2
518,皮膚、睛白、涕、溺、帶、濁等色黃,皮膚色黃。,16
519,皮膚、睛白、涕、溺、帶、濁等色黃,涕色黃。,16
520,皮膚、睛白、涕、溺、帶、濁等色黃,小便色黃。,16
521,皮膚、睛白、涕、溺、帶、濁等色黃,白帶色黃。,16
522,皮膚甲錯,皮膚乾。,4
523,皮膚甲錯起揭,皮膚乾。,6
524,皮膚乾澀,皮膚乾。,4
525,皮膚乾燥粗糙滯澀，甚則乾痛,皮膚乾。,13
526,皮膚乾糙無光澤或有紅點,皮膚乾。,11
527,皮膚乾糙無光澤或有紅點,皮膚紅疹。,11
528,皮膚乾糙無光澤或有紅點,全身色暗。,11
529,皮膚乾糙搔癢,皮膚乾。,6
530,皮膚發班，灼熱疼痛,皮膚生斑。,9
531,皮膚發班，灼熱疼痛,發熱。,9
532,皮膚發班，灼熱疼痛,全身痛。,9
533,皮膚黃,皮膚色黃。,3
534,目光,目花。,2
535,目赤,目紅。,2
536,目赤口苦,目紅。,4
537,目赤口苦,口苦。,4
538,目赤耳聾,目紅。,4
539,目赤耳聾,耳聾。,4
540,目昏,目花。,2
541,目昏不明,目花。,4
542,目花,目花。,2
543,目紅,目紅。,2
544,目眩,目眩。,2
545,目神呆鈍,意識呆滯。,4
546,目斜口斜,口目歪斜。,4
547,目痛,目痛。,2
548,目暗,目暗。,2
549,目暗耳鳴,目暗。,4
550,目暗耳鳴,耳鳴。,4
551,目瞀花,目花。,3
552,目瞑少神,目瞑。,4
553,目瞑少神,情緒神疲。,4
554,目糊,目花。,2
555,目澀,目乾。,2
556,目澀咽乾,目乾。,4
557,目澀咽乾,喉乾。,4
558,矢氣,矢氣量多。,2
559,先渴後嘔,口渴。,4
560,先渴後嘔,嘔吐。,4
561,全身困倦,四肢無力。,4
562,全身疼痛,全身痛。,4
563,全身衰弱,四肢無力。,4
564,全身惡寒,惡寒。,4
565,吐血,吐血。,2
566,吐食,嘔吐。,2
567,吐痰,咳痰。,2
568,吐痰涎,吐涎。,3
569,吐酸水,泛酸。,3
570,吐酸水,吐水。,3
571,吐膿血,吐血。,3
572,多汗,大汗。,2
573,多汗或自汗不收,大汗。,7
574,多尿,小便次多。,2
575,多言,意識多言。,2
576,多言笑,意識多言。,3
577,多言笑,意識多笑。,3
578,多言喜笑,意識多言。,4
579,多言喜笑,意識多笑。,4
580,多怒氣粗,情緒憤怒。,4
581,多怒氣粗,呼吸聲大。,4
582,多笑,意識多笑。,2
583,多夢,多夢。,2
584,多夢易惊,多夢。,4
585,多夢易惊,情緒心驚。,4
586,多疑,情緒多疑。,2
587,妄言,意識譫語。,2
588,如面向外臥,喜向外臥。,5
589,如面向壁臥,喜向內臥。,5
590,如痴如呆,意識痴呆。,4
591,如痴如呆,意識呆滯。,4
592,早泄,早洩。,2
593,早晨十指申屈，僵拘不靈,手指拘急。,11
594,早晨惡心吐涎,噁心。,6
595,早晨惡心吐涎,吐涎。,6
596,早搏出現頻繁,心臟過早搏動。,6
597,有汗,自汗。,2
598,有里急後重感,大便不暢。,6
599,有里急後重感,大便急迫。,6
600,有時徹夜不寐,難眠。,6
601,汗不得出,無汗。,4
602,汗少,少汗。,2
603,汗出,自汗。,2
604,汗出口渴,自汗。,4
605,汗出口渴,口渴。,4
606,汗出不能左臥,自汗。,6
607,汗出心悸,自汗。,4
608,汗出心悸,心悸。,4
609,汗出如洗,大汗。,4
610,汗出臭穢,汗味臭。,4
611,汗出淋漓,大汗。,4
612,汗出惡風,自汗。,4
613,汗出惡風,惡風。,4
614,汗出較多,大汗。,4
615,汗多,大汗。,2
616,汗自出,自汗。,3
617,汗熱味鹹辛,汗口味鹹辛。,5
618,耳衄 ,耳內出血。,3
619,耳腫痛,耳痛。,3
620,耳鳴,耳鳴。,2
621,耳鳴，晝輕夜劇,耳鳴。,7
622,耳鳴耳聾,耳鳴。,4
623,耳鳴耳聾,耳聾。,4
624,耳鳴耳聾目昏眼花,耳鳴。,8
625,耳鳴耳聾目昏眼花,耳聾。,8
626,耳鳴耳聾目昏眼花,目花。,8
627,耳鳴耳聾眼花,耳鳴。,6
628,耳鳴耳聾眼花,耳聾。,6
629,耳鳴耳聾眼花,目花。,6
630,耳鳴或疝痛,耳鳴。,5
631,耳鳴或疝痛,腹痛。,5
632,耳暴鳴,耳鳴。,3
633,耳聾,耳聾。,2
634,耳聾目赤,耳聾。,4
635,耳聾目赤,目紅。,4
636,肉跳,肉顫。,2
637,肉瞤筋惕,肉顫。,4
638,肌肉之中漫腫，按之軟而不痛，但酸重,全身浮腫。,17
639,肌肉之中漫腫，按之軟而不痛，但酸重,全身酸。,17
640,肌肉之中漫腫，按之軟而不痛，但酸重,全身重。,17
641,肌肉消瘦,全身消瘦。,4
642,肌肉煩痛,全身痛。,4
643,肌肉瘦脫,全身消瘦。,4
644,肌冷,四肢冷。,2
645,肌冷汗冷，其味淡微黏,四肢冷。,10
646,肌冷汗冷，其味淡微黏,冷汗。,10
647,肌冷汗冷，其味淡微黏,汗質黏。,10
648,肌冷汗冷，其味淡微黏,汗口味淡。,10
649,肌熱於午後,午後發熱。,5
650,肌瘦不仁,全身消瘦。,4
651,肌膚甲錯,皮膚乾。,4
652,肌膚枯躁,皮膚乾。,4
653,肌膚清冷,四肢冷。,4
654,肌膚粗糙乾枯,皮膚乾。,6
655,肌膚緊縮，皮毛粟起,毛髮豎起。,9
656,自汗,自汗。,2
657,自汗以顏面部為甚,自汗。,8
658,自汗以顏面部為甚,頭面汗出。,8
659,自汗多汗,自汗。,4
660,自汗多汗,大汗。,4
661,自汗惡風,自汗。,4
662,自汗惡風,惡風。,4
663,自汗溱溱,大汗。,4
664,自覺水走腸間，或脹或痛,腹脹。,11
665,自覺水走腸間，或脹或痛,腹痛。,11
666,自覺冷風入侵並抽痛,惡寒。,9
667,自覺冷風入侵並抽痛,全身痛。,9
668,自覺其氣上沖,氣由下往上衝。,6
669,舌強肢震,四肢拘急。,4
670,舌強語塞肢體震顫,情緒聲弱。,8
671,舌強語塞肢體震顫,四肢拘急。,8
672,舌無津液,涎量少。,4
673,血出瘀黑，經血澀少,月經色黑。,9
674,血出瘀黑，經血澀少,月經量少。,9
675,血色不華,面色暗。,4
676,血色紫暗成塊，或黑色如漆，可見於吐血、咯血、嘔血、便血，以及婦科經血、崩漏等,吐血。,38
677,血色紫暗成塊，或黑色如漆，可見於吐血、咯血、嘔血、便血，以及婦科經血、崩漏等,咳血。,38
678,血色紫暗成塊，或黑色如漆，可見於吐血、咯血、嘔血、便血，以及婦科經血、崩漏等,大便挾血。,38
679,血色紫暗成塊，或黑色如漆，可見於吐血、咯血、嘔血、便血，以及婦科經血、崩漏等,月經挾塊。,38
680,血色紫暗成塊，或黑色如漆，可見於吐血、咯血、嘔血、便血，以及婦科經血、崩漏等,月經色紫。,38
681,血色紫暗成塊，或黑色如漆，可見於吐血、咯血、嘔血、便血，以及婦科經血、崩漏等,月經色黑。,38
