,詞,長度,標準症狀,備註,包含
32,脈弱細弱細澀滑細澀弱,10,脈力度弱。脈寬度細。脈力度弱。脈寬度細。脈利度澀。脈幅異常。脈利度滑。脈寬度細。脈利度澀。脈幅異常。脈力度弱。,脈診,
33,小便挾乳糜勞累時加重,10,小便挾乳糜勞累時加重。,,_
34,脈浮細滑細細短有弦滑,10,脈部位浮。脈寬度細。脈利度滑。脈寬度細。脈寬度細。脈長度短。脈緊度緊。脈長度長。脈利度滑。,脈診,
35,脈沉滑稍弱稍數沉數,9,脈部位沉。脈利度滑。脈力度弱。脈速度快。脈部位沉。脈速度快。,脈診,
36,醫療(衛生保健)業,9,,新,_
37,脈浮弦弦弦細弦弦弱,9,脈部位浮。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈寬度細。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈力度弱。,脈診,
38,手腳麻 會影響睡眠,9,四肢麻木。,新,_
39,脈細滑稍弦滑滑滑大,9,脈寬度細。脈利度滑。脈緊度緊。脈長度長。脈利度滑。脈利度滑。脈利度滑。脈寬度寬。,脈診,
40,右手腕關節酸痛無力,9,手腕痛。,新,_
41,脈浮弦弦澀弦滑滑弱,9,脈部位浮。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈利度澀。脈幅異常。脈緊度緊。脈長度長。脈利度滑。脈利度滑。脈力度弱。,脈診,
42,脈細弱稍動滑動滑動,9,脈寬度細。脈力度弱。脈速度快。脈力度強。脈利度滑。脈長度短。脈利度滑。脈速度快。脈力度強。脈利度滑。脈長度短。脈利度滑。脈速度快。脈力度強。脈利度滑。脈長度短。,脈診,
43,手腳近日易酸痛易麻,9,四肢酸。四肢痛。四肢麻木。,新,_
44,脈浮弦細弦細弦細澀,9,脈部位浮。脈緊度緊。脈長度長。脈寬度細。脈緊度緊。脈長度長。脈寬度細。脈緊度緊。脈長度長。脈寬度細。脈利度澀。脈幅異常。,脈診,
45,脈細緊細緊弦細滑滑,9,脈寬度細。脈緊度緊。脈寬度細。脈緊度緊。脈緊度緊。脈長度長。脈寬度細。脈利度滑。脈利度滑。,脈診,
46,右肺上葉纖維化切除,9,,新,_
47,脈浮弦細細弦細弦滑,9,脈部位浮。脈緊度緊。脈長度長。脈寬度細。脈寬度細。脈緊度緊。脈長度長。脈寬度細。脈緊度緊。脈長度長。脈利度滑。,脈診,
48,脈細弱細滑弱滑數滑,9,脈寬度細。脈力度弱。脈寬度細。脈利度滑。脈力度弱。脈利度滑。脈速度快。脈利度滑。,脈診,
49,臂痛天氣變化時加重,9,臂痛天氣變化時加重。,,_
50,脈浮滑細滑滑滑弱弱,9,脈部位浮。脈利度滑。脈寬度細。脈利度滑。脈利度滑。脈利度滑。脈力度弱。脈力度弱。,脈診,
51,糖尿病多年控制不佳,9,,新,_
52,1-2日一行 稍硬,9,大便次少。大便質硬。,新,_
53,勿食烤炸辣物及生冷,9,,新,_
54,四肢僵硬休息後減輕,9,四肢僵硬休息後減輕。,,_
55,脈浮弦弦弦弦滑弦弱,9,脈部位浮。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈利度滑。脈緊度緊。脈長度長。脈力度弱。,脈診,
56,腰痛天氣變化時加重,9,腰痛天氣變化時加重。,,_
57,脈浮細浮滑稍滑滑弱,9,脈部位浮。脈寬度細。脈部位浮。脈利度滑。脈利度滑。脈利度滑。脈力度弱。,脈診,
58,頸背部肌肉僵硬酸痛,9,頸項僵。頸項痛。四肢麻木。背酸。背痛。背僵。,新,_
59,脈稍沉弦稍細滑有結,9,脈部位沉。脈緊度緊。脈長度長。脈寬度細。脈利度滑。脈速度慢。脈止率亂。,脈診,
60,脈細弦細弦細弦弦滑,9,脈寬度細。脈緊度緊。脈長度長。脈寬度細。脈緊度緊。脈長度長。脈寬度細。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈利度滑。,脈診,
61,脅痛天氣變化時加重,9,脅痛天氣變化時加重。,,_
62,肩痛天氣變化時加重,9,肩痛天氣變化時加重。,,_
63,排便不佳二三日一行,9,大便次少。,新,_
64,腰重天氣變化時加重,9,腰重天氣變化時加重。,,_
65,肩重天氣變化時加重,9,肩重天氣變化時加重。,,_
66,大便次少按壓時加重,9,大便次少按壓時加重。,,_
67,全身腫脹按壓時加重,9,全身腫脹按壓時加重。,,_
68,小便挾血勞累時加重,9,小便挾血勞累時加重。,,_
69,脈稍弦稍浮稍弦稍大,9,脈緊度緊。脈長度長。脈部位浮。脈緊度緊。脈長度長。脈寬度寬。,脈診,
70,肘部彎曲會痛有時麻,9,手肘痛。手肘麻。,新,_
71,脈浮細弦細弦弦滑滑,9,脈部位浮。脈寬度細。脈緊度緊。脈長度長。脈寬度細。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈利度滑。脈利度滑。,脈診,
72,小便仍會有灼熱感,8,小便灼熱。,新,_
73,意識懶言午後減輕,8,意識懶言午後減輕。,,_
74,頸項僵休息後減輕,8,頸項僵休息後減輕。,,_
75,小腹脹按壓時加重,8,小腹脹按壓時加重。,,_
76,脈稍浮細弱數浮細,8,脈部位浮。脈寬度細。脈力度弱。脈速度快。脈部位浮。脈寬度細。,脈診,
77,脈浮細細弦弦滑滑,8,脈部位浮。脈寬度細。脈寬度細。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈利度滑。脈利度滑。,脈診,
78,肩頸背部僵硬酸痛,8,頸項僵。頸項痛。肩痛。背痛。背酸。背僵。,新,_
79,服益生菌後便不糊,8,,新,_
80,脈細緩弱有弱細弱,8,脈寬度細。脈速度慢。脈力度弱。脈力度弱。脈寬度細。脈力度弱。,脈診,
81,脈細稍數細弱稍動,8,脈寬度細。脈速度快。脈寬度細。脈力度弱。脈速度快。脈力度強。脈利度滑。脈長度短。,脈診,
82,握機車久半小時麻,8,四肢麻木。,新,_
83,脈細細稍滑細稍弦,8,脈寬度細。脈寬度細。脈利度滑。脈寬度細。脈緊度緊。脈長度長。,脈診,
84,下腹痛按壓時加重,8,下腹痛按壓時加重。,,_
85,脈稍沉弱稍澀有結,8,脈部位沉。脈力度弱。脈利度澀。脈幅異常。脈速度慢。脈止率亂。,脈診,
86,脈細弦弦細細細弱,8,脈寬度細。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈寬度細。脈寬度細。脈寬度細。脈力度弱。,脈診,
87,脈稍弱緩澀稍細動,8,脈力度弱。脈速度慢。脈利度澀。脈幅異常。脈寬度細。脈速度快。脈力度強。脈利度滑。脈長度短。,脈診,
88,脈短弦弦細弦滑滑,8,脈長度短。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈寬度細。脈緊度緊。脈長度長。脈利度滑。脈利度滑。,脈診,
89,兩臀皮膚濕疹會癢,8,？。,新,_
90,舌苔形體部分剝落,8,舌苔形體部分剝落。,,_
91,大便3-4日一次,8,大便次少。,新,_
92,全身痛按壓時加重,8,全身痛按壓時加重。,,_
93,甲狀腺腫部分切除,8,,新,_
94,脈浮細緊弦滑長數,8,脈部位浮。脈寬度細。脈緊度緊。脈緊度緊。脈長度長。脈利度滑。脈長度長。脈速度快。,脈診,
95,頭面汗出夜時減輕,8,頭面汗出夜時減輕。,,_
96,一日解便7-8次,8,大便次多。,新,_
97,1日解便2-3次,8,大便次多。,新,_
98,1日解便4-5次,8,大便次多。,新,_
99,大便成形.日三行,8,大便次多。,新,_
100,舌苔形體全部剝落,8,舌苔形體全部剝落。,,_
101,大便日五→三四行,8,大便次多。,新,_
102,小腹痛按壓時加重,8,小腹痛按壓時加重。,,_
103,全身關節僵硬酸痛,8,全身酸。全身痛。,新,_
104,肺部毛玻璃纖維化,8,,新,_
105,四肢冷按壓時減輕,8,四肢冷按壓時減輕。,,_
106,四肢冷溫暖時減輕,8,四肢冷溫暖時減輕。,,_
107,右側纖維囊腫切除,8,,新,_
108,脈浮細滑滑滑弱弱,8,脈部位浮。脈寬度細。脈利度滑。脈利度滑。脈利度滑。脈力度弱。脈力度弱。,脈診,
109,脈弦細稍滑弦稍滑,8,脈緊度緊。脈長度長。脈寬度細。脈利度滑。脈緊度緊。脈長度長。脈利度滑。,脈診,
110,脈弱動稍有數短澀,8,脈力度弱。脈速度快。脈力度強。脈利度滑。脈長度短。脈速度快。脈長度短。脈利度澀。脈幅異常。,脈診,
111,脈浮細細弦細弦滑,8,脈部位浮。脈寬度細。脈寬度細。脈緊度緊。脈長度長。脈寬度細。脈緊度緊。脈長度長。脈利度滑。,脈診,
112,脈弦滑稍細弱結代,8,脈緊度緊。脈長度長。脈利度滑。脈寬度細。脈力度弱。脈速度慢。脈止率亂。脈止率定。,脈診,
113,四肢肌肉萎縮無力,8,四肢無力。,新,_
114,脈細弱細滑細滑弱,8,脈寬度細。脈力度弱。脈寬度細。脈利度滑。脈寬度細。脈利度滑。脈力度弱。,脈診,
115,頭面汗出日時加重,8,頭面汗出日時加重。,,_
116,脈沉細弱數稍有動,8,脈部位沉。脈寬度細。脈力度弱。脈速度快。脈速度快。脈力度強。脈利度滑。脈長度短。,脈診,
117,脈浮細弦細弦弦滑,8,脈部位浮。脈寬度細。脈緊度緊。脈長度長。脈寬度細。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈利度滑。,脈診,
118,脈浮細弱滑滑弱弱,8,脈部位浮。脈寬度細。脈力度弱。脈利度滑。脈利度滑。脈力度弱。脈力度弱。,脈診,
119,大小便偶有不正常,8,,新,_
120,脈浮細滑弦滑弱弱,8,脈部位浮。脈寬度細。脈利度滑。脈緊度緊。脈長度長。脈利度滑。脈力度弱。脈力度弱。,脈診,
121,深呼吸後才覺舒適,8,？。,新,_
122,脈弱滑弱滑滑弱澀,8,脈力度弱。脈利度滑。脈力度弱。脈利度滑。脈利度滑。脈力度弱。脈利度澀。脈幅異常。,脈診,
123,脈弱細弱數稍有動,8,脈力度弱。脈寬度細。脈力度弱。脈速度快。脈速度快。脈力度強。脈利度滑。脈長度短。,脈診,
124,脈浮弦弦弦弦弦弱,8,脈部位浮。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈力度弱。,脈診,
125,車禍右側肢體無力,8,？。,新,_
126,排便偶有食物殘渣,8,大便挾食物。,新,_
127,手腕關節酸痛無力,8,手腕痛。,新,_
128,脈浮沉滑數弦細弱,8,脈部位浮。脈部位沉。脈利度滑。脈速度快。脈緊度緊。脈長度長。脈寬度細。脈力度弱。,脈診,
129,脈浮滑弱滑大滑弱,8,脈部位浮。脈利度滑。脈力度弱。脈利度滑。脈寬度寬。脈利度滑。脈力度弱。,脈診,
130,脈浮滑數澀澀滑滑,8,脈部位浮。脈利度滑。脈速度快。脈利度澀。脈幅異常。脈利度澀。脈幅異常。脈利度滑。脈利度滑。,脈診,
131,脈浮細弦弦弦弦滑,8,脈部位浮。脈寬度細。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈利度滑。,脈診,
132,脈浮細弦弦弱澀弱,8,脈部位浮。脈寬度細。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈力度弱。脈利度澀。脈幅異常。脈力度弱。,脈診,
133,脈浮弦細弦滑數弱,8,脈部位浮。脈緊度緊。脈長度長。脈寬度細。脈緊度緊。脈長度長。脈利度滑。脈速度快。脈力度弱。,脈診,
134,全身筋骨僵硬酸痛,8,全身酸。全身痛。,新,_
135,脈浮弱弦細稍有弦,8,脈部位浮。脈力度弱。脈緊度緊。脈長度長。脈寬度細。脈緊度緊。脈長度長。,脈診,
136,月經週期長短不定,8,月經週期長短不定。,,_
137,可以聽到確切聲音,8,重聽。,新,_
138,月經經期長短不定,8,月經經期長短不定。,,_
139,小便因工作多後。,8,？。,新,_
140,全身經骨游走酸痛,8,全身酸。全身痛。,新,_
141,飲茶多會有過敏感,8,,新,_
142,胃酸逆流有灼熱感,8,泛酸。胃灼熱。,新,_
143,尾閭痛久坐時加重,8,尾閭痛久坐時加重。,,_
144,脈浮弦弦弦滑滑弱,8,脈部位浮。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈利度滑。脈利度滑。脈力度弱。,脈診,
145,大便一日排便1次,8,,新,_
146,農/林/礦/牧業,8,,新,_
147,手肘關節酸痛麻木,8,手肘麻。手肘痛。四肢酸。,新,_
148,血壓偏高控制不易,8,,新,_
149,脈弱稍有數浮滑數,8,脈力度弱。脈速度快。脈部位浮。脈利度滑。脈速度快。,脈診,
150,小腿肌肉僵硬酸痛,8,小腿酸。小腿痛。,新,_
151,經至色暗紅血塊少,8,月經色紫。月經挾塊。,新,_
152,脈稍沉弱大便不暢,8,脈部位沉。脈力度弱。脈寬度細。脈緊度散。大便不暢。,新,_
153,脈細弱細弱濡滑弱,8,脈寬度細。脈力度弱。脈寬度細。脈力度弱。脈部位浮。脈力度弱。脈寬度細。脈利度滑。脈力度弱。,脈診,
154,右手網球肘已改善,8,,新,_
155,右小指酸麻紅腫脹,8,手小指腫脹。手小指麻。手小指痛。,新,_
156,足小腿有紅疹會癢,8,小腿生疹。小腿癢。,新,_
157,對於寒性食物不耐,8,,新,_
158,晨起即眠時易心悸,8,心悸。,新,_
159,大便約二日一行,7,大便次少。,新,_
160,脈浮細弦滑滑弱,7,脈部位浮。脈寬度細。脈緊度緊。脈長度長。脈利度滑。脈利度滑。脈力度弱。,脈診,
161,脈浮稍數微弦動,7,脈部位浮。脈速度快。脈寬度細。脈力度弱。脈緊度緊。脈長度長。脈速度快。脈力度強。脈利度滑。脈長度短。,脈診,
162,左髖部皆是麻感,7,？。,新,_
163,脈沉細弱稍有滑,7,脈部位沉。脈寬度細。脈力度弱。脈利度滑。,脈診,
164,脈沉稍散大稍數,7,脈部位沉。脈緊度散。脈寬度寬。脈速度快。,脈診,
165,小便因工作多後,7,？。,新,_
166,腹脹按壓時加重,7,腹脹按壓時加重。,,_
167,脈浮澀緩滑滑滑,7,脈部位浮。脈利度澀。脈幅異常。脈速度慢。脈利度滑。脈利度滑。脈利度滑。,脈診,
168,大便稍有次數多,7,大便次多。,新,_
169,脈沉細弱稍有弦,7,脈部位沉。脈寬度細。脈力度弱。脈緊度緊。脈長度長。,脈診,
170,脈浮稍弦稍數沉,7,脈部位浮。脈緊度緊。脈長度長。脈速度快。脈部位沉。,脈診,
171,大便兩三天一次,7,大便次少。,新,_
172,脈沉細浮弦稍數,7,脈部位沉。脈寬度細。脈部位浮。脈緊度緊。脈長度長。脈速度快。,脈診,
173,脈沉細滑細稍滑,7,脈部位沉。脈寬度細。脈利度滑。脈寬度細。脈利度滑。,脈診,
174,脈沉稍滑數有滑,7,脈部位沉。脈利度滑。脈速度快。脈利度滑。,脈診,
175,脈沉濡緩弱弦滑,7,脈部位沉。脈部位浮。脈力度弱。脈寬度細。脈速度慢。脈力度弱。脈緊度緊。脈長度長。脈利度滑。,脈診,
176,脈浮弦弦弦弦滑,7,脈部位浮。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈利度滑。,脈診,
177,大便多日二至三,7,大便次少。,新,_
178,脈沉稍細弦稍數,7,脈部位沉。脈寬度細。脈緊度緊。脈長度長。脈速度快。,脈診,
179,脈沉弦細弱微數,7,脈部位沉。脈緊度緊。脈長度長。脈寬度細。脈力度弱。脈寬度細。脈力度弱。脈速度快。,脈診,
180,脈浮濡數沉弦數,7,脈部位浮。脈部位浮。脈力度弱。脈寬度細。脈速度快。脈部位沉。脈緊度緊。脈長度長。脈速度快。,脈診,
181,脈浮稍弱稍有緊,7,脈部位浮。脈力度弱。脈緊度緊。,脈診,
182,脈弦細稍緊結代,7,脈緊度緊。脈長度長。脈寬度細。脈緊度緊。脈速度慢。脈止率亂。脈止率定。,脈診,
183,脈浮弦弦弦弱弱,7,脈部位浮。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈力度弱。脈力度弱。,脈診,
184,脈沉弦緊稍細數,7,脈部位沉。脈緊度緊。脈長度長。脈緊度緊。脈寬度細。脈速度快。,脈診,
185,脈沉弦稍緊細數,7,脈部位沉。脈緊度緊。脈長度長。脈緊度緊。脈寬度細。脈速度快。,脈診,
186,脈浮細弱弦滑細,7,脈部位浮。脈寬度細。脈力度弱。脈緊度緊。脈長度長。脈利度滑。脈寬度細。,脈診,
187,脈弱滑滑有澀動,7,脈力度弱。脈利度滑。脈利度滑。脈利度澀。脈幅異常。脈速度快。脈力度強。脈利度滑。脈長度短。,脈診,
188,脈沉滑稍有弦弱,7,脈部位沉。脈利度滑。脈緊度緊。脈長度長。脈力度弱。,脈診,
189,脈沉弱稍稍有滑,7,脈部位沉。脈力度弱。脈利度滑。,脈診,
190,脈沉弦緩稍細澀,7,脈部位沉。脈緊度緊。脈長度長。脈速度慢。脈寬度細。脈利度澀。脈幅異常。,脈診,
191,脈浮細弱沉稍滑,7,脈部位浮。脈寬度細。脈力度弱。脈部位沉。脈利度滑。,脈診,
192,脈沉弦細稍滑數,7,脈部位沉。脈緊度緊。脈長度長。脈寬度細。脈利度滑。脈速度快。,脈診,
193,脈浮細弦弦弱弱,7,脈部位浮。脈寬度細。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈力度弱。脈力度弱。,脈診,
194,脈浮弦滑數稍細,7,脈部位浮。脈緊度緊。脈長度長。脈利度滑。脈速度快。脈寬度細。,脈診,
195,腹痛溫暖時減輕,7,腹痛溫暖時減輕。,,_
196,脈浮弱稍滑稍弱,7,脈部位浮。脈力度弱。脈利度滑。脈力度弱。,脈診,
197,腹痛腹瀉後減輕,7,腹痛腹瀉後減輕。,,_
198,脈浮稍數微沉滑,7,脈部位浮。脈速度快。脈寬度細。脈力度弱。脈部位沉。脈利度滑。,脈診,
199,大便多日二到三,7,大便次少。,新,_
200,有便意但解不淨,7,大便不盡。,新,_
201,大便兩三日一行,7,大便次少。,新,_
202,大便時稍有不暢,7,大便不暢。,新,_
203,頸椎長骨刺酸痛,7,頸項痛。,新,_
204,脈浮弦緊稍細數,7,脈部位浮。脈緊度緊。脈長度長。脈緊度緊。脈寬度細。脈速度快。,脈診,
205,脈浮滑稍有浮弦,7,脈部位浮。脈利度滑。脈部位浮。脈緊度緊。脈長度長。,脈診,
206,小便欲解解不出,7,小便不暢。,新,_
207,脈浮弦稍數細弱,7,脈部位浮。脈緊度緊。脈長度長。脈速度快。脈寬度細。脈力度弱。,脈診,
208,脈浮滑大結稍數,7,脈部位浮。脈利度滑。脈寬度寬。脈速度慢。脈止率亂。脈速度快。,脈診,
209,舌質稍胖大稍白,7,舌體形體胖厚。舌體顏色淡白色。,舌診,_
210,脈浮沉弦稍細數,7,脈部位浮。脈部位沉。脈緊度緊。脈長度長。脈寬度細。脈速度快。,脈診,
211,脈浮弱有澀有動,7,脈部位浮。脈力度弱。脈利度澀。脈幅異常。脈速度快。脈力度強。脈利度滑。脈長度短。,脈診,
212,脈弦稍沉滑數滑,7,脈緊度緊。脈長度長。脈部位沉。脈利度滑。脈速度快。脈利度滑。,脈診,
213,小便因工作多上,7,？。,新,_
214,脈沉細稍弦微數,7,脈部位沉。脈寬度細。脈緊度緊。脈長度長。脈寬度細。脈力度弱。脈速度快。,脈診,
215,脈浮弦細滑稍數,7,脈部位浮。脈緊度緊。脈長度長。脈寬度細。脈利度滑。脈速度快。,脈診,
216,脈弱弱弱稍弦弱,7,脈力度弱。脈力度弱。脈力度弱。脈緊度緊。脈長度長。脈力度弱。,脈診,
217,脈浮弦細滑稍弱,7,脈部位浮。脈緊度緊。脈長度長。脈寬度細。脈利度滑。脈力度弱。,脈診,
218,脈浮細弦滑有弦,7,脈部位浮。脈寬度細。脈緊度緊。脈長度長。脈利度滑。脈緊度緊。脈長度長。,脈診,
219,手指僵硬偶麻木,7,手指麻木。四肢僵硬。,新,_
220,脈弦細稍沉滑數,7,脈緊度緊。脈長度長。脈寬度細。脈部位沉。脈利度滑。脈速度快。,脈診,
221,脈弦稍滑稍微數,7,脈緊度緊。脈長度長。脈利度滑。脈寬度細。脈力度弱。脈速度快。,脈診,
222,脈弦細滑弦稍滑,7,脈緊度緊。脈長度長。脈寬度細。脈利度滑。脈緊度緊。脈長度長。脈利度滑。,脈診,
223,脈弦稍滑沉細數,7,脈緊度緊。脈長度長。脈利度滑。脈部位沉。脈寬度細。脈速度快。,脈診,
224,大便兩三天一行,7,大便次少。,新,_
225,脈弦細浮弦細數,7,脈緊度緊。脈長度長。脈寬度細。脈部位浮。脈緊度緊。脈長度長。脈寬度細。脈速度快。,脈診,
226,脈弦細稍滑結代,7,脈緊度緊。脈長度長。脈寬度細。脈利度滑。脈速度慢。脈止率亂。脈止率定。,脈診,
227,脈浮滑稍滑稍弱,7,脈部位浮。脈利度滑。脈利度滑。脈力度弱。,脈診,
228,脈浮滑弱浮弦滑,7,脈部位浮。脈利度滑。脈力度弱。脈部位浮。脈緊度緊。脈長度長。脈利度滑。,脈診,
229,脈弱澀弱弱弱滑,7,脈力度弱。脈利度澀。脈幅異常。脈力度弱。脈力度弱。脈力度弱。脈利度滑。,脈診,
230,脈弱滑滑滑弱弱,7,脈力度弱。脈利度滑。脈利度滑。脈利度滑。脈力度弱。脈力度弱。,脈診,
231,脈弦滑稍沉細數,7,脈緊度緊。脈長度長。脈利度滑。脈部位沉。脈寬度細。脈速度快。,脈診,
232,脈弦滑稍沉結代,7,脈緊度緊。脈長度長。脈利度滑。脈部位沉。脈速度慢。脈止率亂。脈止率定。,脈診,
233,脈浮細有弦有澀,7,脈部位浮。脈寬度細。脈緊度緊。脈長度長。脈利度澀。脈幅異常。,脈診,
234,脈弦滑稍細沉弱,7,脈緊度緊。脈長度長。脈利度滑。脈寬度細。脈部位沉。脈力度弱。,脈診,
235,有便意但排不出,7,？。,新,_
236,脈弦滑稍細結代,7,脈緊度緊。脈長度長。脈利度滑。脈寬度細。脈速度慢。脈止率亂。脈止率定。,脈診,
237,脈弦稍緩沉有澀,7,脈緊度緊。脈長度長。脈速度慢。脈部位沉。脈利度澀。脈幅異常。,脈診,
238,脈弦滑緩稍沉細,7,脈緊度緊。脈長度長。脈利度滑。脈速度慢。脈部位沉。脈寬度細。,脈診,
239,脈弦稍沉滑細數,7,脈緊度緊。脈長度長。脈部位沉。脈利度滑。脈寬度細。脈速度快。,脈診,
240,脈弦稍滑數結代,7,脈緊度緊。脈長度長。脈利度滑。脈速度快。脈速度慢。脈止率亂。脈止率定。,脈診,
241,大便稍有浮油感,7,？。,新,_
242,心區會有悶痛感,7,心痛。,新,_
243,舌下脈形體曲張,7,舌下脈形體曲張。,,_
244,脈弱澀緩滑弱弱,7,脈力度弱。脈利度澀。脈幅異常。脈速度慢。脈利度滑。脈力度弱。脈力度弱。,脈診,
245,小便常會有不盡,7,小便不盡。,新,_
246,脈動澀澀數滑數,7,脈速度快。脈力度強。脈利度滑。脈長度短。脈利度澀。脈幅異常。脈利度澀。脈幅異常。脈速度快。脈利度滑。脈速度快。,脈診,
247,排便常會有不暢,7,大便不暢。,新,_
248,脈弱弱滑弱滑弱,7,脈力度弱。脈力度弱。脈利度滑。脈力度弱。脈利度滑。脈力度弱。,脈診,
249,脈弱弱弱弱澀弱,7,脈力度弱。脈力度弱。脈力度弱。脈力度弱。脈利度澀。脈幅異常。脈力度弱。,脈診,
250,小便很黃帶淡紅,7,小便色黃。小便色紅。,新,_
251,小便排出會刮痛,7,小便挾砂。,新,_
252,大便欲上上不出,7,大便不暢。,新,_
253,脈沉弦澀稍細數,7,脈部位沉。脈緊度緊。脈長度長。脈利度澀。脈幅異常。脈寬度細。脈速度快。,脈診,
254,上個月月經未至,7,？。,新,_
