ICD-9,中文傷病名稱
478.4,聲帶或喉部息肉
478.5,聲帶之其他疾病
478.6,喉部水腫
478.7,喉部之其他疾病，NEC
478.70,喉部疾病
478.71,喉部蜂窩組織炎及軟骨膜炎
478.74,喉部狹窄
478.75,喉痙攣
478.79,喉部之其他疾病
478.8,上呼吸道過敏反應
478.9,上呼吸道其他疾病
480,病毒性肺炎
480.0,腺病毒所致之肺炎
480.1,呼吸道融合病毒所致之肺炎
480.2,副流行性感冒病毒所致之肺炎
480.8,其他病毒所致之肺炎，NEC
480.9,病毒性肺炎
481,肺炎雙球菌性肺炎[肺炎鏈球菌性肺炎]
482,其他細菌性肺炎
482.0,克雷白肺炎桿菌所致之肺炎
482.1,假單胞菌所致之肺炎
482.2,流行感冒嗜血桿菌所致之肺炎
482.3,鏈球菌所致之肺炎
482.30,鏈球菌所致之肺炎
482.31,A群鏈球菌所致之肺炎
482.32,B群鏈球菌所致之肺炎
482.39,其他鏈球菌所致之肺炎
482.4,葡萄球菌所致之肺炎
482.40,葡萄球菌所致之肺炎
482.41,金黃色葡萄球菌所致之肺炎
482.49,其他葡萄球菌性肺炎
482.8,其他特定細菌所致之肺炎
482.81,厭氧菌所致之肺炎
482.82,大腸桿菌所致之肺炎
482.83,其他革蘭氏陰性細菌所致之肺炎
482.84,退伍軍人症
482.89,其他特定細菌所致之肺炎
482.9,細菌性肺炎
483,其他特定病原菌所致之肺炎
483.0,肺炎黴漿菌所致之肺炎
483.1,披衣菌性肺炎
483.8,其他特定病原菌所致之肺炎
484,特定感染疾病所致之肺炎
484.1,巨細胞包涵體疾病所致之肺炎
484.3,百日咳所致之肺炎
484.5,炭疽病所致之肺炎
484.6,麴菌病所致之肺炎
484.7,其他全身性黴菌所致之肺炎
484.8,其他感染疾病所致之肺炎
485,支氣管性肺炎
486,肺炎
487,流行性感冒
487.0,流行性感冒併肺炎
487.1,流行性感冒併其他呼吸道表徵
487.8,流行性感冒併其他表徵
490,支氣管炎，未明示急性或慢性者
491,慢性支氣管炎
491.0,單純性慢性支氣管炎
491.1,膿黏液性慢性支氣管炎
491.2,阻塞性慢性支氣管炎
491.20,阻塞性慢性支氣管炎，未提及急性發作
491.21,阻塞性慢性支氣管炎，併急性發作
491.8,其他慢性支氣管炎
491.9,慢性支氣管炎
492,肺氣腫
492.0,氣腫性氣泡
492.8,其他肺氣腫
493,氣喘（哮喘 )
493.0,外因性氣喘
493.00,外因性氣喘未提及氣喘積重狀態
493.01,外因性氣喘併氣喘積重狀態
493.02,外因性氣喘併急性發作
493.1,內因性氣喘
493.10,內因性氣喘未提及氣喘積重狀態
493.11,內因性氣喘併氣喘積重狀態
493.12,內因性氣喘併急性發作
493.2,慢性阻塞性氣喘(併阻塞性肺病)
493.20,"慢性阻塞性氣喘(併阻塞性肺病), 未提及氣喘積重狀態"
493.21,"慢性阻塞性氣喘(併阻塞性肺病), 併氣喘積重狀態"
493.22,慢性阻塞性氣喘（併阻塞性肺病）急性發作
493.9,氣喘
493.90,氣喘未提及氣喘積重狀態
493.91,氣喘併氣喘積重狀態
493.92,氣喘併急性發作
494,支氣管擴張症
494.0,支氣管擴張症，未提及急性發作
494.1,支氣管擴張症併急性發作
495,外因性過敏性肺泡炎
495.0,農夫肺
495.1,甘蔗灰沈著症
495.2,養鳥者肺
495.3,栓木屑肺沉著症
495.4,麥芽製造工人肺
495.5,蕈類工人肺
495.6,剝楓樹皮工人肺
495.7,空調性肺炎（空氣調節系統中黴菌所致之過敏性肺炎）
495.8,其他特定過敏性肺泡炎及肺炎
495.9,過敏性肺泡炎及肺炎
496,慢性氣道阻塞，NEC
500,煤礦工人塵肺症
501,石棉沉著症
502,其他矽石或矽鹽所致之塵肺症
503,其他無機性塵埃所致之塵肺症
504,吸入其他塵埃所致之肺病
505,塵肺症
506,化學煙霧及蒸氣所致之呼吸道病態
506.0,煙霧及蒸氣所致之支氣管炎或肺炎
506.1,煙霧及蒸氣所致之急性肺水腫
506.2,煙霧及蒸氣所致之上呼吸道炎症
506.3,煙霧及蒸氣所致之其他急性及亞急性呼吸道病態
506.4,煙霧及蒸氣所致之慢性呼吸道病態
506.9,煙霧及蒸氣所致之呼吸道病態
507,固體及液體所致之肺炎
507.0,吸入食物或嘔吐物所致之肺炎
507.1,吸入油及精油所致之肺炎
507.8,其他固體及液體所致之肺炎
508,其他外物所致之呼吸病態
508.0,放射線所致之急性肺病徵
508.1,放射線所致之慢性及其他肺病徵
508.8,其他特定外物所致之呼吸病症
508.9,外物所致之呼吸病症
510,肺積膿
510.0,肺積膿，併?管
510.9,肺積膿，未提及?管
511,胸（肋）膜炎
511.0,胸（肋）膜炎，未提及積水或肺結核者
511.1,胸（肋）膜炎併積水，除肺結核外之細菌所致者
511.8,胸（肋）膜炎，除肺結核性積水以外之其他特定型態積水
511.9,胸（肋）膜炎，未明示積水
512,氣胸
512.0,自發性壓力性氣胸
512.1,醫源性氣胸
512.8,其他自發性氣胸
513,肺及縱膈膿瘍
513.0,肺膿瘍
513.1,縱膈膿瘍
514,肺充血及沈滯
515,發炎後肺部纖維化
516,其他肺泡及肺泡壁肺病
516.0,肺泡蛋白質沉著症
516.1,原發性肺部血鐵質沉著症
516.2,肺泡微細結石病
516.3,原發性纖維性肺泡炎
516.8,其他特定肺泡及肺泡壁肺病
516.9,肺泡及肺泡壁肺病
517,特定疾病併肺侵犯
517.1,風濕性肺炎
517.2,全身硬化症併肺侵犯
517.8,其他特定疾病併肺侵犯
518,肺部其他疾病
518.0,肺陷落
518.1,間質性肺氣腫
518.2,代償性肺氣腫
518.3,肺嗜伊紅血球增多症
518.4,急性肺水腫
518.5,外傷及外科手術後之肺功能不足
518.6,過敏性支氣管與肺的麴菌病
518.8,其他肺部疾病
518.81,急性呼吸衰竭
518.82,其他肺功能不全，NEC
518.83,慢性呼吸衰竭
518.84,急慢性呼吸衰竭
518.89,其他肺部疾病，NEC
519,呼吸系統之其他疾病
519.0,氣管造口之併發症
519.00,氣管造口之併發症
519.01,氣管造口感染
519.02,氣管造口機械性功能不良
519.09,其他氣管造口併發症
519.1,其他氣管及支氣管之疾病，NEC
519.2,縱膈炎
519.3,其他縱膈疾病，NEC
519.4,橫膈膜疾患
519.8,其他呼吸系統疾病，NEC
519.9,呼吸系統疾病
