,原始症狀,標準症狀
114,口渴飲水之喜涼惡熱,渴喜冷飲。
115,口開肩聳,張口抬肩。
116,口微渴,口渴。
117,口鼻失血,鼻衄。
118,口鼻失血,口出血。
119,口噤,口噤。
120,口膩,口膩。
121,口燥,口乾。
122,口燥口渴,口乾。
123,口燥口渴,口渴。
124,口燥口渴，但多不消水,口乾。
125,口燥口渴，但多不消水,口渴。
126,口燥口渴，但多不消水,飲不下嚥。
127,口燥咽乾,口乾。
128,口燥咽乾,喉乾。
129,口燥煩乾,口乾。
130,口穢氣粗,口臭。
131,口穢氣粗,呼吸聲大。
132,大小便，以及嘔吐咯唾痰涎、涕淚、汗液、帶濁等水液混濁稠黏,大便質黏。
133,大小便，以及嘔吐咯唾痰涎、涕淚、汗液、帶濁等水液混濁稠黏,嘔吐物質黏。
134,大小便，以及嘔吐咯唾痰涎、涕淚、汗液、帶濁等水液混濁稠黏,涎質濃。
135,大小便，以及嘔吐咯唾痰涎、涕淚、汗液、帶濁等水液混濁稠黏,痰質濃。
136,大小便，以及嘔吐咯唾痰涎、涕淚、汗液、帶濁等水液混濁稠黏,涕質濃。
137,大小便，以及嘔吐咯唾痰涎、涕淚、汗液、帶濁等水液混濁稠黏,汗質黏。
138,大小便，以及嘔吐咯唾痰涎、涕淚、汗液、帶濁等水液混濁稠黏,白帶質濃。
139,大汗,大汗。
140,大便不爽,大便不盡。
141,大便不通,大便不暢。
142,大便不實,大便質稀。
143,大便反快,大便急迫。
144,大便反溏,大便質初硬後稀。
145,大便先堅後溏,大便質初硬後稀。
146,大便多溏,大便質稀。
147,大便如醬，溏滯不爽,大便質黏。
148,大便如醬，溏滯不爽,大便質稀。
149,大便如醬，溏滯不爽,大便不盡。
150,大便有血水黏液,大便挾血。
151,大便有血水黏液,大便挾黏液。
152,大便色黑,大便色黑。
153,大便時溏,大便質稀。
154,大便乾燥,大便質硬。
155,大便乾燥，二三日一下,大便質硬。
156,大便乾燥，二三日一下,大便次少。
157,大便堅實為多,大便質硬。
158,大便排出成蟲,大便挾蟲。
159,大便清稀,大便質稀。
160,大便惡臭,大便味臭。
161,大便無臭,大便不臭。
162,大便稀溏，稀如水樣,大便質稀。
163,大便黑色,大便色黑。
164,大便滑脫,大便失禁。
165,大便溏薄,大便質稀。
166,大渴,口渴。
167,大渴引飲,口渴。
168,大熱,壯熱。
169,大熱大渴大汗,壯熱。
170,大熱大渴大汗,口渴。
171,大熱大渴大汗,大汗。
172,子宮脫垂,子宮脫垂。
173,小兒發育不良，骨骼痿弱,全身消瘦。
174,小便不利,小便不暢。
175,小便不利,小便量少。
176,小便不利，雖無赤澀熱痛，但必短少不行,小便不暢。
177,小便不利，雖無赤澀熱痛，但必短少不行,小便量少。
178,小便不利，雖無赤澀熱痛，但必短少不行,小便不通。
179,小便不能自制，每伴勞累加劇,小便失禁。
180,小便失禁,小便失禁。
181,小便必短少而熱赤，甚則澀痛不利,小便量少。
182,小便必短少而熱赤，甚則澀痛不利,小便色紅。
183,小便必短少而熱赤，甚則澀痛不利,小便灼熱。
184,小便必短少而熱赤，甚則澀痛不利,小便疼痛。
185,小便自利,小便失禁。
186,小便赤黃,小便色紅。
187,小便赤黃,小便色黃。
188,小便赤黃尿頻,小便色紅。
189,小便赤黃尿頻,小便色黃。
190,小便赤黃尿頻,小便次多。
191,小便赤澀淋痛,小便色紅。
192,小便赤澀淋痛,小便疼痛。
193,小便後流出精絲,小便挾精。
194,小便後帶黏液,小便挾膿。
195,小便臭濁,小便味臭。
196,小便清白,小便色白。
197,小便清白,小便色清。
198,小便清利,小便色清。
199,小便清利,小便量多。
200,小便清長,小便色清。
201,小便清長,小便量多。
202,小便清澈,小便色清。
203,小便淋赤刺痛,小便色棕。
204,小便淋赤刺痛,小便疼痛。
205,小便淋赤刺痛,小便挾砂。
206,小便淋漓不盡,小便不盡。
207,小便混濁,小便挾乳糜。
208,小便透明而長,小便量多。
209,小便透明而長,小便色清。
210,小便渾濁,小便挾乳糜。
211,小便短少,小便量少。
212,小便短赤,小便色棕。
213,小便短赤,小便量少。
214,小便短赤熱痛,小便量少。
215,小便短赤熱痛,小便色棕。
216,小便短赤熱痛,小便灼熱。
217,小便短赤熱痛,小便疼痛。
218,小便短黃,小便色黃。
219,小便短黃,小便量少。
220,小便短澀,小便量少。
221,小便短澀,小便不暢。
222,小便短澀不行,小便量少。
223,小便短澀不行,小便不暢。
224,小便短澀淋瀝,小便量少。
225,小便短澀淋瀝,小便不盡。
226,小便短澀淋瀝，甚則刺痛,小便量少。
227,小便短澀淋瀝，甚則刺痛,小便疼痛。
228,小便短澀淋瀝，甚則刺痛,小便不暢。
229,小便量多而頻,小便次多。
230,小便量多而頻,小便量多。
231,小便量多而頻數,小便次多。
232,小便量多而頻數,小便量多。
233,小便黃少,小便次少。
234,小便黃少,小便色黃。
235,小便溺管痛,小便疼痛。
236,小便數,小便次多。
237,小便熱痛,小便灼熱。
238,小便熱痛,小便疼痛。
239,小便頻多色白且長，白晝尤甚,小便次多。
240,小便頻多色白且長，白晝尤甚,小便色白。
241,小便頻多色白且長，白晝尤甚,小便量多。
242,小便頻數,小便次多。
243,小便頻數不禁,小便次多。
244,小便頻數不禁,小便失禁。
245,小便頻數清長,小便次多。
246,小便頻數清長,小便色清。
247,小便頻數清長,小便量多。
248,小腹冷痛,小腹冷。
249,小腹冷痛,小腹痛。
250,小腹拘急,小腹攣急。
251,小腹時痛,小腹痛。
252,小腹堅痛,小腹痛。
253,小腹痛,小腹痛。
254,小腹脹痛拒按,小腹脹。
255,小腹脹痛拒按,小腹痛。
256,小腹滿,小腹脹。
257,小腹滿，或痛,小腹脹。
258,小腹滿，或痛,小腹痛。
259,小腹滿硬,小腹脹。
260,小腹熱痛,小腹痛。
261,不安,情緒心慌。
262,不育,妊娠不孕。
263,不思食,食欲低落。
264,不思納谷,食欲低落。
265,不思飲食,食欲低落。
266,不食,食欲低落。
267,不納惡食,食欲低落。
268,不能步履,步態不穩。
269,不能食,食欲低落。
270,不飢不食,食欲低落。
271,不飢不飽,食欲低落。
272,不得眠,難眠。
273,不欲進食,食欲低落。
274,不欲飲食,食欲低落。
275,不喜會人,意識孤僻。
276,不寐,難眠。
277,不惡寒反惡熱,惡熱。
278,不渴,口不渴。
279,不渴不寐,口不渴。
280,不渴不寐,難眠。
281,不進食,食欲低落。
282,不飲食,食欲低落。
283,不夢而遺,遺精。
284,中脘痞脹或痛,胃痛。
285,中脘痞脹或痛,胃脹。
286,中脘脹滿，午後更甚,胃脹。
287,五心多熱,手足心熱。
288,五心煩灼,手足心熱。
289,五心煩熱,手足心熱。
290,內熱,發熱。
291,內熱口渴,發熱。
292,內熱口渴,口渴。
293,午後低熱,低熱。
294,午後寒熱,寒熱往來。
295,午後發熱,午後發熱。
296,午後煩亂,情緒煩躁。
297,午後潮熱,潮熱。
298,午後熱甚,午後發熱。
299,午後顴紅目眩,面色紅。
300,午後顴紅目眩,目眩。
301,太息,情緒多嘆。
302,少氣,呼吸微弱。
303,少氣乏力,呼吸微弱。
304,少氣乏力,四肢無力。
305,少氣乏力，不能支持,呼吸微弱。
306,少氣乏力，不能支持,四肢無力。
307,少氣提之若不能升，吞之若不能續,呼吸微弱。
308,少氣短氣,呼吸微弱。
309,少氣懶言,呼吸微弱。
310,少氣懶言,意識懶言。
311,少眠,難眠。
312,少神懶言,情緒神疲。
313,少神懶言,意識懶言。
314,少納,食欲低落。
315,少寐,難眠。
316,少寐多夢,難眠。
317,少寐多夢,多夢。
318,少痰,痰量少。
319,少腹，腰痛或疝瘕痛,少腹痛。
320,少腹，腰痛或疝瘕痛,腰痛。
321,少腹，腰痛或疝瘕痛,腹痛。
322,少腹肛門墜脹,少腹墜脹。
323,少腹肛門墜脹,肛門墜脹。
324,少腹弦急,少腹攣急。
325,少腹疼痛,少腹痛。
326,少腹脹痛,少腹脹。
327,少腹脹痛,少腹痛。
328,少腹裏急,少腹墜脹。
329,尺膚熱甚,發熱。
330,幻視,意識幻視。
331,幻覺,意識幻覺。
332,幻聽,意識幻聽。
333,心下空豁，狀若惊悸,情緒心驚。
334,心下悸,腹顫。
335,心下悸欲得按者,腹顫。
336,心下痞滿,腹脹。
337,心下煩滿,情緒煩躁。
338,心中空虛，惕惕而動,情緒恐懼。
339,心中疼熱,心痛。
340,心神不寧,情緒心慌。
341,心神失寧,情緒心慌。
342,心神恍惚,意識恍惚。
343,心情眠差,難眠。
344,心悸,心悸。
345,心悸失眠,心悸。
346,心悸失眠,難眠。
347,心悸而煩,心悸。
348,心悸而煩,情緒煩躁。
349,心悸怔忡,心悸。
350,心悸氣短,心悸。
351,心悸氣短,呼吸微弱。
352,心悸陣作，有時停跳感,心悸。
353,心悸惊惕,心悸。
354,心悸惊惕,情緒心驚。
355,心累,情緒神疲。
356,心累氣短,情緒神疲。
357,心累氣短,呼吸微弱。
358,心惊動跳,情緒心驚。
359,心悶,胸悶。
360,心痛背脹引腰，日輕夜重,心痛。
361,心痛背脹引腰，日輕夜重,背腫。
362,心痛背脹引腰，日輕夜重,腰痛。
363,心痛背脹引腰，日輕夜重,腰腫。
364,心痛頻發，短暫即止,心痛。
365,心絞痛,心痛。
366,心慌,情緒心慌。
367,心慌心悸,情緒心慌。
368,心慌心悸,心悸。
369,心慌心跳,情緒心慌。
370,心慌氣短,情緒心慌。
371,心慌氣短,呼吸微弱。
372,心煩,情緒煩躁。
373,心煩口乾,情緒煩躁。
374,心煩口乾,口乾。
375,心煩口渴,情緒煩躁。
376,心煩口渴,口渴。
377,心煩不寐,情緒煩躁。
378,心煩不寐,難眠。
379,心煩自汗,情緒煩躁。
380,心煩自汗,自汗。
381,心煩尿赤,情緒煩躁。
382,心煩尿赤,小便色紅。
383,心煩夜甚,情緒煩躁。
384,心煩易怒,情緒煩躁。
385,心煩易怒,情緒憤怒。
386,心煩神亂,情緒煩躁。
387,心煩喜嘔,情緒煩躁。
388,心煩喜嘔,嘔吐。
389,心煩頻頻欲吐,情緒煩躁。
390,心煩頻頻欲吐,噁心。
391,心煩難寐,情緒煩躁。
392,心煩難寐,難眠。
393,心煩躁急,情緒煩躁。
394,心煩躁急,情緒急躁。
395,心煩鬱怒,情緒煩躁。
396,心煩鬱怒,情緒憂鬱。
397,心煩鬱怒,情緒憤怒。
398,心腹冷痛,心痛。
399,心腹冷痛,腹冷。
400,心腹冷痛,腹痛。
401,心跳動,心悸。
402,心跳間歇,心悸。
403,心跳膽寒,心悸。
404,心靜無聲,情緒寡言。
405,手心覺熱,手心熱。
406,手足心熱,手足心熱。
407,手足欠溫,四肢冷。
408,手足出汗,四肢汗出。
409,手足冷,四肢冷。
410,手足清冷,四肢冷。
411,手足發麻,四肢麻木。
412,手足熱甚,足熱。
413,手足濈然汗出,四肢汗出。
414,手指麻木，僅發于食指中指,手指麻木。
415,手指厥冷,手指冷。
416,手震,手顫。
417,日晡發熱,午後發熱。
418,日漸消瘦,全身消瘦。
419,日數十行完谷不化,大便次多。
420,日數十行完谷不化,大便挾食物。
421,月經不調,月經先後不定期。
422,月經少而帶下多，有特殊腥味,月經量少。
423,月經少而帶下多，有特殊腥味,白帶量多。
424,月經少而帶下多，有特殊腥味,月經味臭。
425,月經前面目足跗浮腫作脹，甚則遍體皆腫,面浮腫。
426,月經前面目足跗浮腫作脹，甚則遍體皆腫,面腫脹。
427,月經前面目足跗浮腫作脹，甚則遍體皆腫,足背浮腫。
428,月經前面目足跗浮腫作脹，甚則遍體皆腫,全身浮腫。
429,月經後期,月經後期。
430,月經過多,月經量多。
431,月經錯亂，色淡量少,月經先後不定期。
432,月經錯亂，色淡量少,月經色淡紅。
433,月經錯亂，色淡量少,月經量少。
434,毛髮枯黃脫落,鬚髮焦枯。
435,毛髮枯黃脫落,鬚髮脫落。
436,毛髮脫落,鬚髮脫落。
437,水腫,全身浮腫。
438,爪甲色淡,指甲色白。
439,爪甲乾枯,指甲乾枯。
440,爪甲變薄變脆,指甲薄脆。
441,牙宣出血,牙齦出血。
442,牙齒鬆浮，難於咀嚼,牙齒動搖。
443,乍寒乍熱,寒熱往來。
444,乏力困倦,四肢無力。
445,乏力困倦,情緒神疲。
446,乏力倦怠,四肢無力。
447,乏力倦怠,情緒神疲。
448,出汗,自汗。
449,出血過多顏色紅或紫黑,月經量多。
450,出血過多顏色紅或紫黑,月經色紅。
451,出血過多顏色紅或紫黑,月經色紫。
452,出血過多顏色紅或紫黑,月經色黑。
453,出冷汗,冷汗。
454,出氣發涼,呼涼氣。
455,出虛汗,自汗。
456,可見蟲卵,大便挾蟲。
457,可記憶，或不可記憶,意識健忘。
458,右脅掣痛,右脅痛。
459,右脅痛連背,右脅痛。
460,右脅痛連背,背痛。
461,右側臀部，下肢疼痛，沉重難以言狀，步履艱難，沉重乏力，麻木,下肢痛。
462,右側臀部，下肢疼痛，沉重難以言狀，步履艱難，沉重乏力，麻木,下肢沉重。
463,右側臀部，下肢疼痛，沉重難以言狀，步履艱難，沉重乏力，麻木,下肢麻木。
464,右側臀部，下肢疼痛，沉重難以言狀，步履艱難，沉重乏力，麻木,下肢無力。
465,右腰酸痛墜脹，動則更甚,腰酸。
466,右腰酸痛墜脹，動則更甚,腰痛。
467,右腰酸痛墜脹，動則更甚,腰腫。
468,四末欠溫,四肢冷。
469,四末發涼,四肢冷。
470,四肢不溫,四肢冷。
471,四肢欠溫,四肢冷。
472,四肢乏力,四肢無力。
473,四肢冷,四肢冷。
474,四肢困倦,四肢無力。
475,四肢沉困,四肢重。
476,四肢屈蜷難伸,四肢拘急。
477,四肢拘攣,四肢拘急。
478,四肢重者沉困,四肢重。
479,四肢倦怠,四肢無力。
480,四肢浮腫,四肢浮腫。
481,四肢清冷,四肢冷。
482,四肢軟癱,四肢無力。
483,四肢麻木,四肢麻木。
484,四肢無力,四肢無力。
485,四肢痠疼,四肢酸。
486,四肢痠疼,四肢痛。
487,四肢痠軟,四肢無力。
488,四肢痠麻,四肢酸。
489,四肢痠麻,四肢麻木。
490,四肢發麻,四肢麻木。
491,四肢酸楚,四肢酸。
492,四肢酸楚,四肢無力。
493,四肢濈然汗出,四肢汗出。
494,失音,聲啞。
495,失眠,難眠。
496,失眠少眠,難眠。
497,失眠多夢,難眠。
498,失眠多夢,多夢。
499,失眠多夢易醒,難眠。
500,失眠多夢易醒,多夢。
501,失眠多夢易醒,易醒。
502,失眠忽寐忽醒,難眠。
503,失眠忽寐忽醒,易醒。
504,失禁,小便失禁。
505,左手足筋絡不舒,左半身偏癱。
506,左胸痛,胸痛。
507,左胸痛引脅,胸痛。
508,左胸痛引脅,脅痛。
509,打呃而胃中汩汩有聲,腹鳴。
510,生活極度懶散,意識懶散。
511,申酉潮熱,潮熱。
512,白淫,小便挾精。
513,白濁,小便色白。
514,皮毛急薄毛落,鬚髮脫落。
515,皮毛焦枯,皮膚乾。
516,皮寒,全身冷。
517,皮熱,身熱不揚。
518,皮膚、睛白、涕、溺、帶、濁等色黃,皮膚色黃。
519,皮膚、睛白、涕、溺、帶、濁等色黃,涕色黃。
520,皮膚、睛白、涕、溺、帶、濁等色黃,小便色黃。
521,皮膚、睛白、涕、溺、帶、濁等色黃,白帶色黃。
522,皮膚甲錯,皮膚乾。
523,皮膚甲錯起揭,皮膚乾。
524,皮膚乾澀,皮膚乾。
525,皮膚乾燥粗糙滯澀，甚則乾痛,皮膚乾。
526,皮膚乾糙無光澤或有紅點,皮膚乾。
527,皮膚乾糙無光澤或有紅點,皮膚紅疹。
528,皮膚乾糙無光澤或有紅點,全身色暗。
529,皮膚乾糙搔癢,皮膚乾。
530,皮膚發班，灼熱疼痛,皮膚生斑。
531,皮膚發班，灼熱疼痛,發熱。
532,皮膚發班，灼熱疼痛,全身痛。
533,皮膚黃,皮膚色黃。
534,目光,目花。
535,目赤,目紅。
536,目赤口苦,目紅。
537,目赤口苦,口苦。
538,目赤耳聾,目紅。
539,目赤耳聾,耳聾。
540,目昏,目花。
541,目昏不明,目花。
542,目花,目花。
543,目紅,目紅。
544,目眩,目眩。
545,目神呆鈍,意識呆滯。
546,目斜口斜,口目歪斜。
547,目痛,目痛。
548,目暗,目暗。
549,目暗耳鳴,目暗。
550,目暗耳鳴,耳鳴。
551,目瞀花,目花。
552,目瞑少神,目瞑。
553,目瞑少神,情緒神疲。
554,目糊,目花。
555,目澀,目乾。
556,目澀咽乾,目乾。
557,目澀咽乾,喉乾。
558,矢氣,矢氣量多。
559,先渴後嘔,口渴。
560,先渴後嘔,嘔吐。
561,全身困倦,四肢無力。
562,全身疼痛,全身痛。
563,全身衰弱,四肢無力。
564,全身惡寒,惡寒。
565,吐血,吐血。
566,吐食,嘔吐。
567,吐痰,咳痰。
568,吐痰涎,吐涎。
569,吐酸水,泛酸。
570,吐酸水,吐水。
571,吐膿血,吐血。
572,多汗,大汗。
573,多汗或自汗不收,大汗。
574,多尿,小便次多。
575,多言,意識多言。
576,多言笑,意識多言。
577,多言笑,意識多笑。
578,多言喜笑,意識多言。
579,多言喜笑,意識多笑。
580,多怒氣粗,情緒憤怒。
581,多怒氣粗,呼吸聲大。
582,多笑,意識多笑。
583,多夢,多夢。
584,多夢易惊,多夢。
585,多夢易惊,情緒心驚。
586,多疑,情緒多疑。
587,妄言,意識譫語。
588,如面向外臥,喜向外臥。
589,如面向壁臥,喜向內臥。
590,如癡如呆,意識痴呆。
591,如癡如呆,意識呆滯。
592,早泄,早洩。
593,早晨十指申屈，僵拘不靈,手指拘急。
594,早晨惡心吐涎,噁心。
595,早晨惡心吐涎,吐涎。
596,早搏出現頻繁,心臟過早搏動。
597,有汗,自汗。
598,有里急後重感,大便不暢。
599,有里急後重感,大便急迫。
600,有時徹夜不寐,難眠。
601,汗不得出,無汗。
602,汗少,少汗。
603,汗出,自汗。
604,汗出口渴,自汗。
605,汗出口渴,口渴。
606,汗出不能左臥,自汗。
607,汗出心悸,自汗。
608,汗出心悸,心悸。
609,汗出如洗,大汗。
610,汗出臭穢,汗味臭。
611,汗出淋漓,大汗。
612,汗出惡風,自汗。
613,汗出惡風,惡風。
614,汗出較多,大汗。
615,汗多,大汗。
616,汗自出,自汗。
617,汗熱味鹹辛,汗口味鹹辛。
618,耳衄 ,耳內出血。
619,耳腫痛,耳痛。
620,耳鳴,耳鳴。
621,耳鳴，晝輕夜劇,耳鳴。
622,耳鳴耳聾,耳鳴。
623,耳鳴耳聾,耳聾。
624,耳鳴耳聾目昏眼花,耳鳴。
625,耳鳴耳聾目昏眼花,耳聾。
626,耳鳴耳聾目昏眼花,目花。
627,耳鳴耳聾眼花,耳鳴。
628,耳鳴耳聾眼花,耳聾。
629,耳鳴耳聾眼花,目花。
630,耳鳴或疝痛,耳鳴。
631,耳鳴或疝痛,腹痛。
632,耳暴鳴,耳鳴。
633,耳聾,耳聾。
634,耳聾目赤,耳聾。
635,耳聾目赤,目紅。
636,肉跳,肉顫。
637,肉瞤筋惕,肉顫。
638,肌肉之中漫腫，按之軟而不痛，但痠重,全身浮腫。
639,肌肉之中漫腫，按之軟而不痛，但痠重,全身酸。
640,肌肉之中漫腫，按之軟而不痛，但痠重,全身重。
641,肌肉消瘦,全身消瘦。
642,肌肉煩痛,全身痛。
643,肌肉瘦脫,全身消瘦。
644,肌冷,四肢冷。
645,肌冷汗冷，其味淡微粘,四肢冷。
646,肌冷汗冷，其味淡微粘,冷汗。
647,肌冷汗冷，其味淡微粘,汗質黏。
648,肌冷汗冷，其味淡微粘,汗口味淡。
649,肌熱於午後,午後發熱。
650,肌瘦不仁,全身消瘦。
651,肌膚甲錯,皮膚乾。
652,肌膚枯躁,皮膚乾。
653,肌膚清冷,四肢冷。
654,肌膚粗糙乾枯,皮膚乾。
655,肌膚緊縮，皮毛粟起,毛髮豎起。
656,自汗,自汗。
657,自汗以顏面部為甚,自汗。
658,自汗以顏面部為甚,頭面汗出。
659,自汗多汗,自汗。
660,自汗多汗,大汗。
661,自汗惡風,自汗。
662,自汗惡風,惡風。
663,自汗溱溱,大汗。
664,自覺水走腸間，或脹或痛,腹脹。
665,自覺水走腸間，或脹或痛,腹痛。
666,自覺冷風入侵並抽痛,惡寒。
667,自覺冷風入侵並抽痛,全身痛。
668,自覺其氣上沖,氣由下往上衝。
669,舌強肢震,四肢拘急。
670,舌強語塞肢體震顫,情緒聲弱。
671,舌強語塞肢體震顫,四肢拘急。
672,舌無津液,涎量少。
673,血出瘀黑，經血澀少,月經色黑。
674,血出瘀黑，經血澀少,月經量少。
675,血色不華,面色暗。
676,血色紫暗成塊，或黑色如漆，可見於吐血、咯血、嘔血、便血，以及婦科經血、崩漏等,吐血。
677,血色紫暗成塊，或黑色如漆，可見於吐血、咯血、嘔血、便血，以及婦科經血、崩漏等,咳血。
678,血色紫暗成塊，或黑色如漆，可見於吐血、咯血、嘔血、便血，以及婦科經血、崩漏等,大便挾血。
679,血色紫暗成塊，或黑色如漆，可見於吐血、咯血、嘔血、便血，以及婦科經血、崩漏等,月經挾塊。
680,血色紫暗成塊，或黑色如漆，可見於吐血、咯血、嘔血、便血，以及婦科經血、崩漏等,月經色紫。
681,血色紫暗成塊，或黑色如漆，可見於吐血、咯血、嘔血、便血，以及婦科經血、崩漏等,月經色黑。
682,血尿,小便挾血。
683,血後呃逆,呃逆。
684,血淋,小便挾血。
685,行動遲滯,四肢遲滯。
686,囟門遲閉,囟門遲閉。
687,但欲寐，反發熱,發熱。
688,作癢咳嗽,喉癢。
689,作癢咳嗽,咳嗽。
690,低熱,低熱。
691,低熱久熱,低熱。
692,低熱不揚,低熱。
693,低熱持續不退,低熱。
694,低熱逗留,低熱。
695,低熱過38度,低熱。
696,低燒,低熱。
697,冷汗自出,冷汗。
698,冷汗自出,自汗。
699,冷汗浸淫,冷汗。
700,冷劇時，渾身顫慄,寒戰。
701,吞吐酸水,泛酸。
702,吞吐酸水,泛酸。
703,吞酸,泛酸。
704,吞酸，泛而吐出,泛酸。
705,吞酸，泛而吐出,泛酸。
706,吞酸吐酸,泛酸。
707,吞酸吐酸,泛酸。
708,吞酸噯腐,泛酸。
709,呃忒,呃逆。
710,呃逆,呃逆。
711,呃逆或吐蛔,呃逆。
712,呃逆或吐蛔,吐蛔。
713,困倦不起,情緒神疲。
714,坐臥不安,情緒心慌。
715,壯熱,壯熱。
716,壯熱無汗,壯熱。
717,壯熱無汗,無汗。
718,壯熱煩躁，日晡則劇,壯熱。
719,壯熱煩躁，日晡則劇,情緒煩躁。
720,夾有膿血,大便挾血。
721,尿少,小便量少。
722,尿少灼熱,小便次少。
723,尿少灼熱,小便灼熱。
724,尿有餘瀝,小便不盡。
725,尿色黃赤,小便色黃。
726,尿血,小便挾血。
727,尿赤,小便色紅。
728,尿赤短少,小便色棕。
729,尿赤短少,小便量少。
730,尿赤黃濁,小便色紅。
731,尿赤黃濁,小便色黃。
732,尿赤澀痛,小便色紅。
733,尿赤澀痛,小便疼痛。
734,尿後餘瀝不盡,小便不盡。
735,尿急,小便急迫。
736,尿痛,小便疼痛。
737,尿短赤,小便量少。
738,尿短赤,小便色紅。
739,尿意頻數,小便次多。
740,尿頻,小便次多。
741,尿頻量少,小便次多。
742,尿頻量少,小便量少。
743,尾骶骨痛,尾閭痛。
744,尾骶骨痛連腰,尾閭痛。
745,尾骶骨痛連腰,腰痛。
746,形有冷感,畏寒。
747,形色萎倦,情緒神疲。
748,形胖色(白光),面色白。
749,形容枯槁,全身消瘦。
750,形容憔悴,全身消瘦。
751,形神憔悴,情緒神疲。
752,形寒,畏寒。
753,形寒內熱,畏寒。
754,形寒內熱,發熱。
755,形寒怯冷,畏寒。
756,形寒怕冷,畏寒。
757,形寒肢冷,畏寒。
758,形寒肢冷,四肢冷。
759,形寒蜷臥,畏寒。
760,形寒蜷臥,蜷臥。
761,形槁毛枯,全身消瘦。
762,形槁毛枯,體毛焦枯。
763,形瘦,全身消瘦。
764,形瘦色黑,全身消瘦。
765,形瘦色黑,面色黑。
